topic,category
appointment of Dr. Stapleford to report on western relief,Social Welfare and Labour
government grants to the horticultural society,Agriculture and Food Policy
inspection and grading of apple exports,Agriculture and Food Policy
marketing of Atlantic fish products,Agriculture and Food Policy
drought relief vegetable and fish distribution,Agriculture and Food Policy
livestock marketing and retail beef pricing,Agriculture and Food Policy
inspection standards for exported livestock products,Agriculture and Food Policy
Canada-United States trade agreement tariff protections,International Trade and Tariffs
Canadian beef exports to Great Britain,Agriculture and Food Policy
export of fresh killed beef to Britain,Agriculture and Food Policy
Nova Scotia beef cattle exports to Britain,Agriculture and Food Policy
agricultural product inspection and quality standards,Agriculture and Food Policy
export of Canadian cattle to Scotland,Agriculture and Food Policy
provincial jurisdiction over trade union organization,Social Welfare and Labour
export of Canadian beef to Britain,Agriculture and Food Policy
government-funded beef export experiment,Agriculture and Food Policy
domestic market for apple products,Agriculture and Food Policy
export of Canadian cattle to British markets,Agriculture and Food Policy
government-subsidized cattle export inspections,Agriculture and Food Policy
collective bargaining and trade union rights,Social Welfare and Labour
export of Canadian beef to Great Britain,Agriculture and Food Policy
provincial jurisdiction over trade union organization rights,Social Welfare and Labour
labour relations and collective bargaining rights,Social Welfare and Labour
legal counsel for the Department of Labour,Social Welfare and Labour
valuation of government dredging equipment,Transportation and Communications
cattle export market fluctuations,Agriculture and Food Policy
hog grading administration and personnel,Agriculture and Food Policy
standardization of poultry exports,Agriculture and Food Policy
civilian employment at Halifax military works,Veterans' and Military Affairs
maritime provinces cattle exports,Agriculture and Food Policy
federal jurisdiction over trade union legislation,Social Welfare and Labour
prohibition of anti-union employment practices,Social Welfare and Labour
legal jurisdiction over trade union organization,Social Welfare and Labour
Ontario-Quebec interprovincial boundary demarcation,Natural Resources and Intergovernmental Relations
grading of bacon hogs,Agriculture and Food Policy
stabilization of Canadian farm product prices,Agriculture and Food Policy
subsidized western cattle transportation for eastern feeders,Agriculture and Food Policy
provincial tax on agricultural product purchases,Natural Resources and Intergovernmental Relations
Beaver Lodge agricultural experimental station upgrading,Agriculture and Food Policy
compensation for cattle with Bang's disease,Agriculture and Food Policy
export quotas for Nova Scotia livestock and poultry,Agriculture and Food Policy
livestock feed shortages and herd reductions,Agriculture and Food Policy
agricultural pest control expenditures,Agriculture and Food Policy
soil drifting and moisture conservation experiments,Agriculture and Food Policy
agricultural labour wages and working conditions,Social Welfare and Labour
agricultural labour wages and classification,Social Welfare and Labour
potato crop research and marketing services,Agriculture and Food Policy
agricultural pest control programs,Agriculture and Food Policy
promotion of the Canadian tourist industry,Government and Parliamentary Affairs
pea moth infestation control,Agriculture and Food Policy
national coordination of the tourist trade,Government and Parliamentary Affairs
federal agricultural expenditure efficiency,Agriculture and Food Policy
production of industrial alcohol from potatoes,Agriculture and Food Policy
financial performance of the National Harbours Board,Transportation and Communications
administrative expenses of the department of transport,Transportation and Communications
Department of Agriculture performance and policies,Agriculture and Food Policy
agricultural research and production coordination,Agriculture and Food Policy
administration of national parks and highways,Natural Resources and Intergovernmental Relations
ferry service vessel modifications,Transportation and Communications
reorganisation of Department of Agriculture science services,Agriculture and Food Policy
utilization of agricultural land in Ontario,Agriculture and Food Policy
regulations for colouring imported seed,Agriculture and Food Policy
expenditures of agricultural experimental stations,Agriculture and Food Policy
experimental farm greenhouse facilities and staff salaries,Agriculture and Food Policy
reconstruction of the Newboro canal bridge,Transportation and Communications
funding for Lennoxville experimental farm,Agriculture and Food Policy
Department of Transport budgetary estimates,Public Finance and Taxation
development of the port of Toronto,Transportation and Communications
Rideau system water levels and navigation rights,Transportation and Communications
Prince Edward Island ferry and rail connections,Transportation and Communications
control of water flow for navigation,Transportation and Communications
grain shipment decline at Vancouver harbour,Transportation and Communications
coordination of Canadian tourist trade advertising,Government and Parliamentary Affairs
national harbours board tariff adjustments,Transportation and Communications
port of Montreal grain shipping charges,Transportation and Communications
eastern Canadian port tariff charges,Transportation and Communications
Department of Transport administration,Transportation and Communications
Montreal grain handling charges,Transportation and Communications
Montreal harbour operations and grain trade competitiveness,Transportation and Communications
tramp steamer freight rates to Montreal,Transportation and Communications
grain freight rates and port competitiveness,Transportation and Communications
Fredericton entomological research station facilities,Agriculture and Food Policy
National Harbours Board administrative expenses,Transportation and Communications
ferry service automobile capacity improvements,Transportation and Communications
grain transportation rate increases,Transportation and Communications
agricultural production and price stabilization,Agriculture and Food Policy
port facility development and grain exports,Transportation and Communications
exportation of Canadian and United States grain,International Trade and Tariffs
employment of building labour,Social Welfare and Labour
Niagara Falls bridge construction,Transportation and Communications
Niagara Falls bridge incorporation bill,Transportation and Communications
farm implement pricing practices,Agriculture and Food Policy
farm implement distribution costs and freight rates,Agriculture and Food Policy
federal taxation and relief expenditure,Public Finance and Taxation
back to the land movement and rural prosperity,Agriculture and Food Policy
agricultural commodity prices and economic improvement,Agriculture and Food Policy
Trans-Canada Air Lines radio range station construction,Transportation and Communications
Canadian National Railways branch line operations,Transportation and Communications
procedural validity of committee reports,Government and Parliamentary Affairs
youth training and employment schemes,Social Welfare and Labour
farm implement pricing and mark-ups,Agriculture and Food Policy
Sherbrooke hospital lottery postal enforcement,Government and Parliamentary Affairs
farm implement pricing and production costs,Agriculture and Food Policy
Crowsnest Pass freight rate suspension,Transportation and Communications
rural youth retention on farms,Agriculture and Food Policy
disputed reports of unemployment conditions in Yarmouth,Social Welfare and Labour
national park and highway development for unemployment,Social Welfare and Labour
excessive pricing of farm implements,Agriculture and Food Policy
inaccurate representations of unemployment in Yarmouth,Social Welfare and Labour
federal relief grants for provincial medical services,Social Welfare and Labour
import of Singapore canned pineapple,International Trade and Tariffs
federal distribution of relief supplies,Social Welfare and Labour
distribution of government food relief in Saskatchewan,Social Welfare and Labour
federal government interim supply expenditures,Public Finance and Taxation
unemployment relief and agricultural labour wages,Social Welfare and Labour
provincial government school funding appropriations,Natural Resources and Intergovernmental Relations
Brampton post office construction and maintenance costs,Transportation and Communications
National Employment Commission relief administration reforms,Social Welfare and Labour
federal grants for provincial school assistance,Natural Resources and Intergovernmental Relations
unemployment relief and national employment commission recommendations,Social Welfare and Labour
home improvement plan and unemployment relief,Social Welfare and Labour
exchange fund account balances and investments,Banking and Monetary Policy
federal unemployment relief and development projects,Social Welfare and Labour
Saskatchewan teacher salary arrears funding,Natural Resources and Intergovernmental Relations
youth unemployment training programs,Social Welfare and Labour
forestry-based unemployment relief projects in British Columbia,Social Welfare and Labour
development of the national tourist industry,Transportation and Communications
youth training and apprenticeship projects,Social Welfare and Labour
federal financial assistance for Saskatchewan drought relief,Agriculture and Food Policy
federal assistance for provincial medical services,Social Welfare and Labour
federal financial assistance to Saskatchewan provinces,Natural Resources and Intergovernmental Relations
unemployment relief and building industry stimulus,Social Welfare and Labour
industrial apprenticeship and vocational training,Social Welfare and Labour
replacement of unemployment relief camps,Social Welfare and Labour
federal-provincial grants-in-aid for unemployment relief,Social Welfare and Labour
federal jurisdiction over vocational training and apprenticeship,Social Welfare and Labour
conditions for federal grants to provinces,Natural Resources and Intergovernmental Relations
postal prohibition of lottery mailings,Government and Parliamentary Affairs
monetary policy and inflation management,Banking and Monetary Policy
dismissal of government employees on political grounds,Government and Parliamentary Affairs
monetary expansion and credit policy risks,Banking and Monetary Policy
state control of monetary credit creation,Banking and Monetary Policy
monetary reform and national distribution of money,Banking and Monetary Policy
parliamentary debate on foreign policy,Government and Parliamentary Affairs
government foreign policy statement,Government and Parliamentary Affairs
bank note circulation and gold reserves,Banking and Monetary Policy
bank credit expansion and reserves,Banking and Monetary Policy
federal-provincial constitutional jurisdiction,"Justice, Constitution, and Indigenous Affairs"
Bank of Canada monetary policy and credit contraction,Banking and Monetary Policy
national defence policy,Veterans' and Military Affairs
Canadian National Railways freight statistics,Transportation and Communications
expansion of bank credit and monetary policy,Banking and Monetary Policy
government monetary policy and national credit,Banking and Monetary Policy
Canada's right to international neutrality,"Justice, Constitution, and Indigenous Affairs"
critique of social credit monetary theory,Banking and Monetary Policy
investigation into deaths linked to ensol serum,"Justice, Constitution, and Indigenous Affairs"
Immigration Act amendment regarding prohibited classes,"Justice, Constitution, and Indigenous Affairs"
national defence financing and monetary policy,Veterans' and Military Affairs
delays in statistical reporting for pension applications,Social Welfare and Labour
parliamentary scheduling of external affairs statements,Government and Parliamentary Affairs
Canadian constitutional amendment procedure,"Justice, Constitution, and Indigenous Affairs"
Canadian foreign policy and national defence estimates,Veterans' and Military Affairs
literacy test requirements for immigration applicants,"Justice, Constitution, and Indigenous Affairs"
parliamentary rules of procedure and debate,Government and Parliamentary Affairs
investigation into ensol cancer serum safety,"Justice, Constitution, and Indigenous Affairs"
parliamentary procedure regarding committee supply and ways,Government and Parliamentary Affairs
parliamentary procedure regarding supply and ways and means,Government and Parliamentary Affairs
comparative per capita defence expenditure,Veterans' and Military Affairs
Canadian national defence policy and foreign relations,Veterans' and Military Affairs
remedies for unemployment and industrial productive capacity,Social Welfare and Labour
Canada's foreign policy and national defence commitments,Veterans' and Military Affairs
financing of national defence estimates,Veterans' and Military Affairs
Canada's lack of imperial military commitments,Veterans' and Military Affairs
maintenance costs of the Niagara bridge,Transportation and Communications
national defence estimates,Veterans' and Military Affairs
national financing of military defence expenditures,Veterans' and Military Affairs
canadian dairy products statistics,Agriculture and Food Policy
canadian military neutrality and defence policy,Veterans' and Military Affairs
retention of Companies' Creditors Arrangement Act,"Justice, Constitution, and Indigenous Affairs"
critique of social credit monetary policy,Banking and Monetary Policy
Restigouche Log Driving and Boom Company bill,Natural Resources and Intergovernmental Relations
Restigouche Log Driving and Boom Company amendment,Natural Resources and Intergovernmental Relations
Restigouche Log Driving and Boom Company directorships,Natural Resources and Intergovernmental Relations
Niagara Falls bridge construction project financing,Transportation and Communications
monetary policy and productive capacity,Banking and Monetary Policy
Restigouche Log Driving and Boom Company incorporation,Natural Resources and Intergovernmental Relations
Niagara Falls Observation Bridge Company legislation,Transportation and Communications
Niagara Falls Observation Bridge Company finances,Transportation and Communications
radio licensing legislation penalties,Transportation and Communications
radio receiving set licensing legislation,Transportation and Communications
regulation of radio receiving licence penalties,Transportation and Communications
licensing and penalties in the Radiotelegraph Act,Transportation and Communications
New Westminster harbour development and investment,Transportation and Communications
revision of the Radiotelegraph Act,Transportation and Communications
tariff board investigation of radio prices,International Trade and Tariffs
New Westminster harbour administration and governance,Transportation and Communications
import tariff classification for slot machines,International Trade and Tariffs
radio receiver patent royalty regulations,Transportation and Communications
forfeiture of property for pelagic sealing violations,"Justice, Constitution, and Indigenous Affairs"
valuation of soldier settlement board properties,Agriculture and Food Policy
radio broadcasting licence conditions and restrictions,Transportation and Communications
governance of municipal harbours,Transportation and Communications
radio station licensing and power increases,Transportation and Communications
St. Sebastien postmaster appointment process,Government and Parliamentary Affairs
Canadian National Railways debt refunding authority,Transportation and Communications
assessment of prospective farm values by boards of review,Agriculture and Food Policy
importation and storage of Argentine corn,Agriculture and Food Policy
procedural objections regarding bill format,Government and Parliamentary Affairs
bilingual printing requirements for parliamentary bills,Government and Parliamentary Affairs
Canadian Broadcasting Corporation editorial policy,Transportation and Communications
procedural consistency in parliamentary debate,Government and Parliamentary Affairs
parliamentary criticism of foreign government policies,Government and Parliamentary Affairs
parliamentary discussion of Canadian foreign policy,Government and Parliamentary Affairs
Canadian Broadcasting Corporation political commentary standards,Transportation and Communications
regulation of parliamentary content in radio broadcasting,Transportation and Communications
Canadian Broadcasting Corporation political commentary,Transportation and Communications
parliamentary restrictions on international affairs criticism,Government and Parliamentary Affairs
parliamentary decorum regarding foreign affairs,Government and Parliamentary Affairs
legislative drafting procedures for new bills,Government and Parliamentary Affairs
freedom of speech in radio broadcasting,Transportation and Communications
regulation of radio news commentators,Transportation and Communications
grain elevator operating rates and agreements,Agriculture and Food Policy
canadian neutrality in imperial war,Veterans' and Military Affairs
Farmers' Creditors Arrangement Act revisions,Agriculture and Food Policy
political independence of the Canadian Broadcasting Corporation,Transportation and Communications
Canadian radio broadcasting commercialization policy,Transportation and Communications
parliamentary procedure for bill introduction,Government and Parliamentary Affairs
regulation of canadian broadcasting corporation commentators,Transportation and Communications
freedom of speech in public discourse,"Justice, Constitution, and Indigenous Affairs"
radio committee correspondence on licence fees,Transportation and Communications
government control of radio broadcasting and commentators,Transportation and Communications
exemption from radio licence fees for relief recipients,Transportation and Communications
radio licence fee enforcement,Transportation and Communications
radio licence enforcement regulations,Transportation and Communications
regulation of radio political commentary,Transportation and Communications
radio licence fee collection enforcement,Transportation and Communications
radio licence enforcement legislation,Transportation and Communications
procedural objection regarding legislative rules,Government and Parliamentary Affairs
farm unemployment and agricultural distress relief,Social Welfare and Labour
criticism of national employment commission report,Social Welfare and Labour
industrialisation of china and global trade competition,International Trade and Tariffs
National Employment Commission recommendations,Social Welfare and Labour
unemployment relief and agricultural distress,Social Welfare and Labour
housing construction and urban slum clearance,Social Welfare and Labour
economic conditions and monetary policy,Banking and Monetary Policy
hydroelectric power generation feasibility,Natural Resources and Intergovernmental Relations
federal administration of unemployment relief agreements,Social Welfare and Labour
administration of youth unemployment relief programs,Social Welfare and Labour
relief scales and fair wage standards,Social Welfare and Labour
national unemployment levels,Social Welfare and Labour
criticism of national employment commission appointments,Government and Parliamentary Affairs
reduction of unemployment relief standards in Winnipeg,Social Welfare and Labour
rehabilitation through land settlement and colonization,Agriculture and Food Policy
rising unemployment and relief statistics,Social Welfare and Labour
federal unemployment relief policy and administration,Social Welfare and Labour
dominion government grants for unemployment relief,Social Welfare and Labour
alleged conflict of interest of Arthur Purvis,Government and Parliamentary Affairs
administration of unemployment relief and agricultural assistance,Social Welfare and Labour
federal relief grants and unemployment assistance,Social Welfare and Labour
federal unemployment and agricultural relief legislation,Social Welfare and Labour
unemployment relief for transient men in Vancouver,Social Welfare and Labour
employment practices at Malton airport construction site,Social Welfare and Labour
forestry and farm unemployment relief programs,Social Welfare and Labour
unemployment and agricultural relief funding,Social Welfare and Labour
forestry camps for single unemployed men,Social Welfare and Labour
government inaction on unemployment and agricultural distress,Social Welfare and Labour
National Employment Commission reporting on relief workers,Social Welfare and Labour
unemployment relief and fair wage standards,Social Welfare and Labour
youth unemployment relief measures,Social Welfare and Labour
unemployment relief and government planning,Social Welfare and Labour
municipal unemployment relief scales,Social Welfare and Labour
Montreal railway terminal and infrastructure projects,Transportation and Communications
unemployment relief for forestry workers,Social Welfare and Labour
farm employment plan for homeless men,Social Welfare and Labour
criticism of the National Employment Commission report,Social Welfare and Labour
unemployment relief for youth not on relief,Social Welfare and Labour
urban unemployment and relief dependency,Social Welfare and Labour
political criticism of Alberta Social Credit policies,Banking and Monetary Policy
unemployment relief and social credit policy,Social Welfare and Labour
implementation of social credit in Alberta,Banking and Monetary Policy
unemployment relief and housing schemes,Social Welfare and Labour
federal unemployment relief and youth employment programs,Social Welfare and Labour
transition from direct relief to employment programs,Social Welfare and Labour
Niagara Falls Observation Bridge construction,Transportation and Communications
unemployment relief and social distress measures,Social Welfare and Labour
incorporation of the Niagara Falls bridge company,Transportation and Communications
customs duties on farm implements,International Trade and Tariffs
farm implement prices and cooperative distribution,Agriculture and Food Policy
government dredging contract procurement irregularities,Government and Parliamentary Affairs
valuation of Department of Transport inventories,Public Finance and Taxation
sale and maintenance of Sorel shipyards,Transportation and Communications
valuation of Sorel shipyard property and equipment,Public Finance and Taxation
impact of vegetable oils on agriculture,Agriculture and Food Policy
government inventory valuation and depreciation policies,Public Finance and Taxation
costs of St. Lawrence dredging equipment,Transportation and Communications
Immigration Act educational test amendment,"Justice, Constitution, and Indigenous Affairs"
Sorel shipyard sale allegations,Government and Parliamentary Affairs
government equipment rental and shipyard expenditures,Public Finance and Taxation
government dredging contract administration and equipment sales,Government and Parliamentary Affairs
government equipment rental rates,Public Finance and Taxation
parliamentary procedure regarding debate duration,Government and Parliamentary Affairs
Sorel shipyard and St. Lawrence dredging contracts,Government and Parliamentary Affairs
government accounting and departmental efficiency,Public Finance and Taxation
radio receiving set search warrant procedures,"Justice, Constitution, and Indigenous Affairs"
valuation of Department of Transport equipment,Public Finance and Taxation
sale of government equipment allegations,Government and Parliamentary Affairs
Sorel property assessments and shipyard ownership,Public Finance and Taxation
Board of Transport Commissioners salary expenditures,Public Finance and Taxation
Hudson Bay railway economic development,Transportation and Communications
Hudson Bay Railway operations and port business,Transportation and Communications
railway grade crossing safety,Transportation and Communications
northern mining development and transportation infrastructure,Transportation and Communications
Hudson Bay railway operations at Churchill,Transportation and Communications
northern Manitoba mining development,Natural Resources and Intergovernmental Relations
legalization of provincial sweepstakes,"Justice, Constitution, and Indigenous Affairs"
appraisal of government shipyard property,Public Finance and Taxation
grain traffic at Churchill port,Transportation and Communications
construction of a shallow-draft icebreaker,Transportation and Communications
bonded warehouse construction at Churchill,Transportation and Communications
removal of harbour derelicts,Transportation and Communications
financial relief for unemployed veterans,Social Welfare and Labour
legalization of provincial sweepstakes for charitable purposes,"Justice, Constitution, and Indigenous Affairs"
Department of Transport administrative staffing and estimates,Government and Parliamentary Affairs
legalization of provincial sweepstakes for public institutions,"Justice, Constitution, and Indigenous Affairs"
veterans' employment preferences in public works projects,Social Welfare and Labour
employment of veterans in military projects,Social Welfare and Labour
development of the port of Churchill,Transportation and Communications
legalization of sweepstakes for hospital purposes,"Justice, Constitution, and Indigenous Affairs"
economic viability of the Hudson Bay Railway,Transportation and Communications
legalisation of provincial sweepstakes,"Justice, Constitution, and Indigenous Affairs"
Royal Canadian Corps of Signals radio operations,Veterans' and Military Affairs
national defence associations and funding allocations,Veterans' and Military Affairs
legalisation of provincial sweepstakes for public institutions,"Justice, Constitution, and Indigenous Affairs"
Sorel shipyard property assessment and sale,Public Finance and Taxation
funding for the Dominion of Canada Rifle Association,Veterans' and Military Affairs
Royal Canadian Corps of Signals communication system,Veterans' and Military Affairs
lease of Quebec harbour public wharf,Transportation and Communications
publication of government documents,Government and Parliamentary Affairs
low-cost rental housing and slum clearance schemes,Social Welfare and Labour
unemployment relief and provincial financial distress,Social Welfare and Labour
youth unemployment and educational attainment,Social Welfare and Labour
unemployment relief and national economic planning,Social Welfare and Labour
polling of German nationals regarding Austrian annexation,Veterans' and Military Affairs
national employment commission report critique,Social Welfare and Labour
parliamentary privilege regarding offensive remarks,Government and Parliamentary Affairs
rejection of proportional representation for federal elections,Government and Parliamentary Affairs
deduction of repair costs from seed grain grants,Agriculture and Food Policy
national unemployment relief and public works,Social Welfare and Labour
political expenditures and election legislation,Government and Parliamentary Affairs
unemployment relief and domestic trade protectionism,Social Welfare and Labour
resettlement of drought-stricken settlers in British Columbia,Agriculture and Food Policy
north Pacific pelagic sealing legislation,Natural Resources and Intergovernmental Relations
unemployment relief and public works policy,Social Welfare and Labour
St. Michel de Bellechasse lightkeeper compensation,Government and Parliamentary Affairs
federal unemployment relief and training scheme,Social Welfare and Labour
federal-provincial relations and unemployment relief,Natural Resources and Intergovernmental Relations
statistics on butter imports and storage,International Trade and Tariffs
election spending and campaign finance regulation,Government and Parliamentary Affairs
farm placement plan for unemployed workers,Social Welfare and Labour
federal-provincial accountancy and tax harmonization,Natural Resources and Intergovernmental Relations
forestry work camps for unemployed men,Social Welfare and Labour
unemployment relief and housing conditions in York,Social Welfare and Labour
municipal unemployment relief and taxation reform,Social Welfare and Labour
national credit for unemployment and agricultural relief,Social Welfare and Labour
municipal relief rates and wage competition,Social Welfare and Labour
government unemployment and agricultural relief policy,Social Welfare and Labour
rural rehabilitation and farm debt relief,Agriculture and Food Policy
polling of German nationals in Canada,Veterans' and Military Affairs
farm placement plan for agricultural relief,Agriculture and Food Policy
youth unemployment and forestry relief camps,Social Welfare and Labour
urban renewal and unemployment relief,Social Welfare and Labour
national housing policy and municipal tax relief,Social Welfare and Labour
abolition of criminal appeals to the Privy Council,"Justice, Constitution, and Indigenous Affairs"
municipal relief funding and tax reform,Social Welfare and Labour
proposed German plebiscite in Canada,Veterans' and Military Affairs
youth training and unemployment relief programs,Social Welfare and Labour
proposed abolition of Privy Council appeals,"Justice, Constitution, and Indigenous Affairs"
tax protection for Niagara Falls bridge construction,Public Finance and Taxation
"shortage of livestock feed in Scotsguard, Saskatchewan",Agriculture and Food Policy
abolition of appeals to the privy council,"Justice, Constitution, and Indigenous Affairs"
construction of a toll-free Niagara Falls bridge,Transportation and Communications
Niagara Falls bridge construction opposition,Transportation and Communications
abolition of Privy Council appeals,"Justice, Constitution, and Indigenous Affairs"
federal railway commission rate-making authority,Transportation and Communications
abolition of Privy Council judicial appeals,"Justice, Constitution, and Indigenous Affairs"
abolition of appeals to the Judicial Committee,"Justice, Constitution, and Indigenous Affairs"
construction of Niagara Falls bridge,Transportation and Communications
proposed abolition of appeals to the Privy Council,"Justice, Constitution, and Indigenous Affairs"
allegations of government patronage in public expenditures,Government and Parliamentary Affairs
Peace River highway construction,Transportation and Communications
construction of mining roads in Cariboo,Transportation and Communications
construction of Peace River district road outlet,Transportation and Communications
proposed highway construction for unemployed settlers,Social Welfare and Labour
political intimidation in unemployment relief projects,Social Welfare and Labour
Dominion Housing Act loan accessibility in British Columbia,Social Welfare and Labour
Peace River regional development and infrastructure,Transportation and Communications
construction of the Monkman pass highway,Transportation and Communications
political discrimination in unemployment relief projects,Social Welfare and Labour
modernization of the Employment Service of Canada,Social Welfare and Labour
national unemployment policy and economic relief,Social Welfare and Labour
construction of the Alaska highway,Transportation and Communications
social credit economic policies and unemployment relief,Banking and Monetary Policy
social credit monetary reform and purchasing power,Banking and Monetary Policy
Dominion Housing Act implementation,Social Welfare and Labour
unemployment relief and western agricultural distress,Social Welfare and Labour
federal grants-in-aid for provincial unemployment relief,Social Welfare and Labour
labour regulation and pension age reduction,Social Welfare and Labour
recovery of unemployment relief overpayments,Social Welfare and Labour
critique of unemployment relief redistribution policies,Social Welfare and Labour
economic recovery and industry taxation relief,Public Finance and Taxation
national housing act construction financing,Social Welfare and Labour
government approach to economic and social policy,Social Welfare and Labour
Social Credit monetary policy and unemployment,Banking and Monetary Policy
unemployment relief expenditure transparency,Social Welfare and Labour
employment service advisory committees,Social Welfare and Labour
implementation of national employment commission report recommendations,Social Welfare and Labour
non-discrimination policy in public works projects,Social Welfare and Labour
unemployment relief and agricultural subsidies,Social Welfare and Labour
strategies for alleviating unemployment,Social Welfare and Labour
partisan patronage in New Brunswick relief works,Social Welfare and Labour
economic balance between agriculture and industry,Agriculture and Food Policy
economic stimulus and housing construction,Social Welfare and Labour
national credit and retail price policy,Banking and Monetary Policy
creation of a new province in Alberta,Government and Parliamentary Affairs
social credit economic policies and national debt,Banking and Monetary Policy
social credit theory and consumer purchasing power,Banking and Monetary Policy
department of mines and resources budgetary increases,Public Finance and Taxation
formation of a new province,Government and Parliamentary Affairs
monetary theory and price levels,Banking and Monetary Policy
Canadian Broadcasting Corporation policies and operations,Transportation and Communications
reindeer herding for Inuit communities,"Justice, Constitution, and Indigenous Affairs"
international trade and internal economic mechanisms,International Trade and Tariffs
price control and subsidy mechanisms,Agriculture and Food Policy
proposed formation of a new northern province,Government and Parliamentary Affairs
unemployment relief through national credit expansion,Banking and Monetary Policy
maintenance of national park exhibits,Natural Resources and Intergovernmental Relations
medical services in the Northwest Territories,"Justice, Constitution, and Indigenous Affairs"
British Columbia log export regulations,International Trade and Tariffs
radio receiving set licence enforcement,Transportation and Communications
licensing and inspection of private radio sets,Transportation and Communications
Radiotelegraph Act search warrant provisions,Transportation and Communications
radio receiving set licensing requirements,Transportation and Communications
branding of Canadian agricultural exports,Agriculture and Food Policy
burden of proof in radio licensing regulations,Transportation and Communications
meat export statistics,Agriculture and Food Policy
licensing of mobile radio transmitting equipment,Transportation and Communications
Department of Agriculture administrative expenditure estimates,Public Finance and Taxation
radio receiving licence fee enforcement,Transportation and Communications
radio receiver licensing fees,Transportation and Communications
freight transportation costs for agricultural products,Transportation and Communications
radio receiving set licensing enforcement,Transportation and Communications
overlapping agricultural representative functions in foreign markets,Agriculture and Food Policy
agricultural economics budget allocation,Public Finance and Taxation
Canadian Wheat Board operations and agricultural land utilization,Agriculture and Food Policy
amendments to the Radiotelegraph Act regarding licensing,Transportation and Communications
radio licence enforcement and collection provisions,Transportation and Communications
export of Canadian seed potatoes,Agriculture and Food Policy
international agricultural cooperation and potato cultivation,Agriculture and Food Policy
maritime potato exports to Cuba,Agriculture and Food Policy
potato export market development,Agriculture and Food Policy
Natural Products Marketing Act objectives,Agriculture and Food Policy
maritime potato export markets,Agriculture and Food Policy
expansion of agricultural export marketing services,Agriculture and Food Policy
federal-provincial coordination of agricultural policy,Natural Resources and Intergovernmental Relations
agricultural economics research and marketing studies,Agriculture and Food Policy
British potato import embargo,International Trade and Tariffs
administrative reorganization of the department of agriculture,Government and Parliamentary Affairs
"grading, inspection and weighing of corn",Agriculture and Food Policy
reorganization of the department of agriculture,Government and Parliamentary Affairs
optimum farm size and agricultural economic research,Agriculture and Food Policy
federal-provincial coordination in agriculture,Natural Resources and Intergovernmental Relations
export markets for canadian seed potatoes,Agriculture and Food Policy
agricultural research for the vegetable industry,Agriculture and Food Policy
cheese producers' association reorganization,Agriculture and Food Policy
Natural Products Marketing Act legislation impacts,Agriculture and Food Policy
marketing and promotion of Canadian agricultural products,Agriculture and Food Policy
dairy products administration,Agriculture and Food Policy
federal assistance for agricultural cooperative marketing,Agriculture and Food Policy
ontario milk production economic investigation,Agriculture and Food Policy
agricultural situation and outlook publication,Agriculture and Food Policy
corn marketing and storage facilities,Agriculture and Food Policy
impact of vegetable oil imports on dairy,Agriculture and Food Policy
radio receiving set licensing powers,Transportation and Communications
radio receiving set licensing regulations,Transportation and Communications
radio receiver search warrant legislation,Transportation and Communications
impact of vegetable oil imports on agriculture,Agriculture and Food Policy
corn production and vegetable growing industry,Agriculture and Food Policy
government land acquisition costs,Public Finance and Taxation
federal jurisdiction and provincial constitutional rights,"Justice, Constitution, and Indigenous Affairs"
Victoria Day holiday observance date,Government and Parliamentary Affairs
abolition of provincial Privy Council appeals,"Justice, Constitution, and Indigenous Affairs"
Farmers' Creditors Arrangement Act debt collection procedures,Agriculture and Food Policy
Farmers' Creditors Arrangement Act board review procedures,Agriculture and Food Policy
farmers' bankruptcy proceedings and debt protection,Agriculture and Food Policy
burden of proof under Farmers' Creditors Arrangement Act,Agriculture and Food Policy
procedural requirements of the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
cancellation of farmers' creditors arrangement proposals,Agriculture and Food Policy
Farmers' Creditors Arrangement Act legal procedures,Agriculture and Food Policy
Canadian National Railways financial obligations and refunding,Transportation and Communications
legislative drafting procedure,Government and Parliamentary Affairs
enforcement of Farmers' Creditors Arrangement Act orders,Agriculture and Food Policy
enforcement of farmers' creditors arrangement act compromises,Agriculture and Food Policy
farmers' creditors arrangement act debt provisions,Agriculture and Food Policy
refunding of Canadian National Railways securities,Transportation and Communications
onus of proof in farmers' creditors arrangements,Agriculture and Food Policy
Farmers' Creditors Arrangement Act debt repayment provisions,Agriculture and Food Policy
farmer status under Farmers' Creditors Arrangement Act,Agriculture and Food Policy
parliamentary procedure regarding bill debate timing,Government and Parliamentary Affairs
Canadian National Railways bond issue refunding,Transportation and Communications
conservation policy in Alberta oil fields,Natural Resources and Intergovernmental Relations
regulation of Northwest Territories fur exports,Natural Resources and Intergovernmental Relations
legislative drafting requirements for immigration act amendments,"Justice, Constitution, and Indigenous Affairs"
Railway Act amendment regarding land damages,Transportation and Communications
parliamentary procedure regarding bill 11,Government and Parliamentary Affairs
Farmers' Creditors Arrangement Act eligibility date,Agriculture and Food Policy
Alberta natural resources conservation agreements,Natural Resources and Intergovernmental Relations
time limits for Farmers' Creditors Arrangement Act,Agriculture and Food Policy
natural resources transfer agreements and Turner Valley conservation,Natural Resources and Intergovernmental Relations
procedural objections to bill formatting,Government and Parliamentary Affairs
illegal fur trafficking in Northwest Territories,Natural Resources and Intergovernmental Relations
