topic,category,error
granting supply for public service,Parliamentary Affairs,
granting supply for public service expenses,Economic & Fiscal Policy,
grants and building costs for Indian reserves,Indigenous & Northern Affairs,
grants and loans to Jamaica,Foreign Affairs & Defence,
grants and ministerial acquaintanceship,Government Operations & Ethics,
grants by electoral districts,Government Operations & Ethics,
grants for 1994 Commonwealth Games proposal,Economic & Fiscal Policy,
grants for Falconbridge Nickel Mines,Trade & Industry,
grants for French language universities association,Social Policy,
grants for diseased animals,Agriculture & Natural Resources,
grants for home heating conversion,Social Policy,
grants for industrial development in designated areas,Trade & Industry,
grants for industrial research and development,Trade & Industry,
grants for international exchange visits,Foreign Affairs & Defence,
grants for military associations and studies,Foreign Affairs & Defence,
grants for mineral exploration and tourism,Trade & Industry,
grants for pharmaceutical research and development,Trade & Industry,
grants for student residence accommodation,Social Policy,
grants for territorial schools in Yukon,Indigenous & Northern Affairs,
grants for veterans and war dead,Social Policy,
grants in lieu of property taxes for Crown corporations,Government Operations & Ethics,
grants in lieu of taxes for commission ports,Intergovernmental & Constitutional Affairs,
grants of interest,Economic & Fiscal Policy,
grants to 4-H clubs,Agriculture & Natural Resources,
grants to Canadian Council on Social Development,Social Policy,
grants to National Educational Leadership Training Course,Social Policy,
grants to after care agencies,Social Policy,
grants to churches for Indian education,Indigenous & Northern Affairs,
grants to consumer organizations,Social Policy,
grants to designated areas for industry,Trade & Industry,
grants to friendship centres,Indigenous & Northern Affairs,
grants to industries and agriculture committee,Agriculture & Natural Resources,
grants to multiple sclerosis society,Social Policy,
grants to municipalities in lieu of property taxes,Intergovernmental & Constitutional Affairs,
grants to municipalities in lieu of taxes,Intergovernmental & Constitutional Affairs,
grants to native peoples for constitutional position,Indigenous & Northern Affairs,
grants to sawmill companies in Villeneuve,Trade & Industry,
grants to senior citizens clubs,Social Policy,
grants to universities for education,Social Policy,
grape growers and trade agreement,Trade & Industry,
graphics approach to income tax form,Economic & Fiscal Policy,
grasshopper infestations in western Canada,Agriculture & Natural Resources,
grasshopper outbreak preparedness,Agriculture & Natural Resources,
grassland incentive policy acreage requirement,Agriculture & Natural Resources,
grassland incentive program for farmers,Agriculture & Natural Resources,
grasslands incentive program for meat production,Agriculture & Natural Resources,
grazing policy in Riding Mountain park,Agriculture & Natural Resources,
great lakes labour dispute meeting,Trade & Industry,
great lakes water levels and advisory committee,Agriculture & Natural Resources,
great lakes water levels conference,Agriculture & Natural Resources,
green belt property for bus terminal,Government Operations & Ethics,
green paper on broadcasting,Trade & Industry,
green paper referred to joint committee,Parliamentary Affairs,
green plan funding approval,Agriculture & Natural Resources,
green plan investments in environment and economy,Economic & Fiscal Policy,
green tax system and transportation policy,Economic & Fiscal Policy,
greenhouse gas emissions,Agriculture & Natural Resources,
greenhouse industry protection,Agriculture & Natural Resources,
greenhouse producer taxes on natural gas,Agriculture & Natural Resources,
greyhound racing and gambling industry,Trade & Industry,
grievance and filming of parliament,Parliamentary Affairs,
grievance procedure,Parliamentary Affairs,
grievance procedure and collective agreements,Parliamentary Affairs,
grievance procedure and transportation policy,Trade & Industry,
grievance procedure for armed forces,Foreign Affairs & Defence,
grievance procedure for public servants,Government Operations & Ethics,
grievance regarding productivity and national income,Economic & Fiscal Policy,
grievance vs point of order,Parliamentary Affairs,
grievances from health and welfare employees,Social Policy,
grievances on motion for supply,Parliamentary Affairs,
grocery prices and Combines Investigation Act,Trade & Industry,
gross domestic product and labour shortages,Economic & Fiscal Policy,
gross national expenditures and trade balance,Economic & Fiscal Policy,
gross national product and chartered bank assets,Economic & Fiscal Policy,
gross national product and tax increases,Economic & Fiscal Policy,
gross national product and taxation,Economic & Fiscal Policy,
gross profit percentage in section 37A,Economic & Fiscal Policy,
ground beef quality and regulation,Agriculture & Natural Resources,
ground transportation to new airport,Trade & Industry,
ground-beef safety and food prices review,Agriculture & Natural Resources,
groundfish advisory committee plans,Agriculture & Natural Resources,
groundfish allocations and boundary dispute resolution,Agriculture & Natural Resources,
groundfish floor price and purchasing,Agriculture & Natural Resources,
groundfish licences and fisherman training,Agriculture & Natural Resources,
groundfish quotas and fleet fairness,Agriculture & Natural Resources,
group contract-government annuity plans,Social Policy,
grouping amendments on emergency permits,Parliamentary Affairs,
grouping of amendments,Parliamentary Affairs,
grouping of amendments for debate,Parliamentary Affairs,
grouping of amendments to Bill C-49,Parliamentary Affairs,
grouping of amendments to Bill C-57,Parliamentary Affairs,
grouping of bill cleanup motions,Parliamentary Affairs,
grouping of clauses for approval,Parliamentary Affairs,
grouping of motions for debate,Parliamentary Affairs,
grouping of report stage motions,Parliamentary Affairs,
growth rate of transfer payments,Intergovernmental & Constitutional Affairs,
guarantee for Learstar-600 jet aircraft venture,Trade & Industry,
guarantee income for industrial milk producers,Agriculture & Natural Resources,
guarantee of preferred shares,Economic & Fiscal Policy,
guarantee of seniors program funding,Social Policy,
guaranteed annual income,Social Policy,
guaranteed annual income and welfare programs,Social Policy,
guaranteed annual income policy,Social Policy,
guaranteed annual income program financing,Social Policy,
guaranteed annual income scheme,Social Policy,
guaranteed annual income studies,Social Policy,
guaranteed annual income vs income tax exemptions,Economic & Fiscal Policy,
guaranteed annual minimum income programs,Social Policy,
guaranteed grain freight rates and delivery system,Agriculture & Natural Resources,
guaranteed income and employment training,Social Policy,
guaranteed income and social assistance,Social Policy,
guaranteed income announcement,Social Policy,
guaranteed income averaging certificates disclosure,Economic & Fiscal Policy,
guaranteed income for unemployed,Social Policy,
guaranteed income for veterans,Social Policy,
guaranteed income plan and Canada Assistance Plan,Social Policy,
guaranteed income plan for seniors,Social Policy,
guaranteed income program administration,Social Policy,
guaranteed income program for low income Canadians,Social Policy,
guaranteed income program for old age pensioners,Social Policy,
guaranteed income program indexed to cost of living,Social Policy,
guaranteed income supplement and energy tax credit,Social Policy,
guaranteed income supplement and old age pensioners,Social Policy,
guaranteed income supplement and welfare spending,Social Policy,
guaranteed income supplement calculation,Social Policy,
guaranteed income supplement for old age pensioners,Social Policy,
guaranteed income supplement for pensioners,Social Policy,
guaranteed income supplement for retired coal miners,Social Policy,
guaranteed income supplement for senior citizens,Social Policy,
guaranteed income supplement for seniors,Social Policy,
guaranteed income supplement increase,Social Policy,
guaranteed income supplement indexation,Social Policy,
guaranteed income supplement program statistics,Social Policy,
guaranteed income supplementation,Social Policy,
guaranteed loans for existing business purchases,Economic & Fiscal Policy,
guaranteed minimum annual income plan,Social Policy,
guaranteed minimum income,Social Policy,
guaranteed minimum income and unemployment,Social Policy,
guaranteed payment mortgage program,Social Policy,
guaranteed western wheat prices,Agriculture & Natural Resources,
guaranteeing medicare under Established Programs Financing Act,Social Policy,
guarantees for foreign currency loans,Economic & Fiscal Policy,
guarantees in elections,Parliamentary Affairs,
guarantees in new Bill,Parliamentary Affairs,
guarantees of non-prosecution,"Justice, Rights & Immigration",
guidance of the Chair,Parliamentary Affairs,
guidance sought from Chair on opposition questions,Parliamentary Affairs,
guideline policy for inflation,Economic & Fiscal Policy,
guidelines and code of conduct,Government Operations & Ethics,
guidelines for Canadian businesses in US,Trade & Industry,
guidelines for Crown corporations,Government Operations & Ethics,
guidelines for answering written questions,Parliamentary Affairs,
guidelines for conduct,Government Operations & Ethics,
guidelines for harbour dredging,Government Operations & Ethics,
guidelines for ministerial travel during election campaign,Government Operations & Ethics,
guidelines for provincial needs,Intergovernmental & Constitutional Affairs,
guidelines for public appointees,Government Operations & Ethics,
guidelines for refugee protection,"Justice, Rights & Immigration",
guidelines for tabling of papers,Government Operations & Ethics,
guidelines for televising House debates,Parliamentary Affairs,
guidelines for use of government aircraft,Government Operations & Ethics,
guidelines on lock-ups,Parliamentary Affairs,
guidelines on management consultants,Government Operations & Ethics,
guillotine and bill division,Parliamentary Affairs,
gulf crisis and Middle East history,Foreign Affairs & Defence,
gun control alternatives,"Justice, Rights & Immigration",
gun control and civil liberties,"Justice, Rights & Immigration",
gun control and crime legislation,"Justice, Rights & Immigration",
gun control and enforcement,"Justice, Rights & Immigration",
gun control and justice system reform,"Justice, Rights & Immigration",
gun control and military weapons,"Justice, Rights & Immigration",
gun control and smuggling,"Justice, Rights & Immigration",
gun control bill C-80 procedure,Parliamentary Affairs,
gun control bill and proposed regulations,"Justice, Rights & Immigration",
gun control bill committee discussion,"Justice, Rights & Immigration",
gun control legislation,"Justice, Rights & Immigration",
gun control legislation amendments,"Justice, Rights & Immigration",
gun control legislation and Bill C-80,"Justice, Rights & Immigration",
gun control legislation and criminal use of firearms,"Justice, Rights & Immigration",
gun control legislation and exemptions,"Justice, Rights & Immigration",
gun control legislation and firearms acquisition certificates,"Justice, Rights & Immigration",
gun control legislation and firearms possession certificates,"Justice, Rights & Immigration",
gun control legislation and individual rights,"Justice, Rights & Immigration",
gun control legislation and rural concerns,"Justice, Rights & Immigration",
gun control legislation and rural perspectives,"Justice, Rights & Immigration",
gun control legislation and sportspersons' concerns,"Justice, Rights & Immigration",
gun control legislation debate,"Justice, Rights & Immigration",
gun control provisions in Bill C-83,"Justice, Rights & Immigration",
gun registration and criminal code amendment,"Justice, Rights & Immigration",
gun registration fees and record keeping,"Justice, Rights & Immigration",
gun registration fees and voluntary registration,"Justice, Rights & Immigration",
habitual criminals and preventive detention statistics,"Justice, Rights & Immigration",
haddock and cod market stabilization program,Agriculture & Natural Resources,
hallucinogen distribution and alcoholism policy,Social Policy,
halt RCMP headquarters move pending impact studies,Government Operations & Ethics,
halting metrication program,Government Operations & Ethics,
hand-gun permits for Yukon prospectors,"Justice, Rights & Immigration",
handicraft imports from developing countries,Trade & Industry,
handicraft items trade with developing countries,Trade & Industry,
handling constituent inquiries,Government Operations & Ethics,
handling of amendments,Parliamentary Affairs,
handling of bill clauses,Parliamentary Affairs,
handling of coin matters by finance department,Economic & Fiscal Policy,
handling of important legislation,Parliamentary Affairs,
handling of question period,Parliamentary Affairs,
handling of specific cases,Parliamentary Affairs,
handling of the tuna affair,Agriculture & Natural Resources,
handling of tough and damp grain,Agriculture & Natural Resources,
handling of welfare applications,Social Policy,
handling refugee claims,"Justice, Rights & Immigration",
hangar space at Winnipeg airport,Trade & Industry,
harassment and retaliation in the workplace,Government Operations & Ethics,
harassment and stalking legislation,"Justice, Rights & Immigration",
harassment at Montreal docks affecting farmers,Agriculture & Natural Resources,
harassment-free workplaces in National Defence,Social Policy,
harbour and wharf repairs in Nova Scotia,Trade & Industry,
harbour board grain ship loading,Agriculture & Natural Resources,
harbour commission capital expenditures,Trade & Industry,
harbour commission contracts awarded 1968-1974,Government Operations & Ethics,
harbour commission ports policy,Trade & Industry,
harbour commissions and pollution,Agriculture & Natural Resources,
harbour construction in Gloucester,Trade & Industry,
harbour development and dredging in Newfoundland,Agriculture & Natural Resources,
harbour development discussions,Trade & Industry,
harbour facilities and ferry service,Trade & Industry,
harbour improvements and VIA Rail service,Agriculture & Natural Resources,
harbour patrol vessel for Vancouver port,Trade & Industry,
harbourfront public ownership,Government Operations & Ethics,
harbours board facilities for Clarke Traffic Services,Trade & Industry,
harbours board report on ship explosion,Government Operations & Ethics,
hard coal contracts with Japan,Trade & Industry,
hardships of metric conversion for farmers,Agriculture & Natural Resources,
harmonization of GST and provincial sales tax,Economic & Fiscal Policy,
harmonizing tariff system with trading partners,Trade & Industry,
harnessing Bay of Fundy tides for power,Agriculture & Natural Resources,
harnessing bay of Fundy tides for power,Agriculture & Natural Resources,
hatchery fish disease and closure,Agriculture & Natural Resources,
hate propaganda and age discrimination,"Justice, Rights & Immigration",
hate propaganda and criminal law reform,"Justice, Rights & Immigration",
hate propaganda and freedom of speech,"Justice, Rights & Immigration",
hate propaganda and legislative futility,"Justice, Rights & Immigration",
hate propaganda and pornography,"Justice, Rights & Immigration",
hate propaganda and racial discrimination,"Justice, Rights & Immigration",
hate propaganda cases reported to Attorney General,"Justice, Rights & Immigration",
hate propaganda legislation debate,"Justice, Rights & Immigration",
hay sales and grazing policy,Agriculture & Natural Resources,
hazardous product containers,Trade & Industry,
head start for specific companies,Trade & Industry,
headquarters of the Wheat Board,Agriculture & Natural Resources,
headquarters of the board designation,Parliamentary Affairs,
health Bill for senior citizens,Social Policy,
health alert information,Social Policy,
health and dental benefits for Canadian families,Social Policy,
health and post-secondary education financing,Social Policy,
health and welfare discussions,Social Policy,
health and welfare estimates,Social Policy,
health care cash transfers to provinces,Social Policy,
health care costs and chronic care,Social Policy,
health care data and facility planning,Social Policy,
health care research funding,Social Policy,
health care services and trade agreement,Trade & Industry,
health care system costs,Social Policy,
health care system management and financing,Social Policy,
health conference for Canadian Indians,Indigenous & Northern Affairs,
health consequences of acid rain,Foreign Affairs & Defence,
health costs projection inquiry,Social Policy,
health effects program on water fowl and fish,Agriculture & Natural Resources,
health facilities for Indians at The Pas,Indigenous & Northern Affairs,
health insurance numbers,Social Policy,
health insurance services amendment,Social Policy,
health ministers and binding arbitration,Social Policy,
health of animals regulations on honey bee importation,Agriculture & Natural Resources,
health of the automobile industry,Trade & Industry,
health policy recommendations,Social Policy,
health research and building fund,Social Policy,
health research funding,Social Policy,
health research funding and provincial control,Social Policy,
health resources advisory committee expenses,Social Policy,
health resources fund and medical education,Social Policy,
health resources fund for medical training,Social Policy,
health resources fund payment designation,Social Policy,
health resources fund phasing,Social Policy,
health risk to students in Kiev,Foreign Affairs & Defence,
health services cost review,Social Policy,
health services for Indigenous peoples,Indigenous & Northern Affairs,
health services for The Pas Indian band,Indigenous & Northern Affairs,
health services for native Indians,Indigenous & Northern Affairs,
health services for northern Indigenous peoples,Indigenous & Northern Affairs,
health services for treaty Indians,Indigenous & Northern Affairs,
healthcare and post-secondary education cutbacks,Social Policy,
hearsay evidence in debate,Parliamentary Affairs,
heart disease and cigarette smoking,Social Policy,
heartbeat check program for MPs,Parliamentary Affairs,
heat pump installation regulations,Agriculture & Natural Resources,
heating and cooling mains contract extras,Government Operations & Ethics,
heating fuel discount for senior citizens,Social Policy,
heating oil and gasoline prices,Economic & Fiscal Policy,
heating oil price assistance,Economic & Fiscal Policy,
heating oil price increase in Rimouski,Economic & Fiscal Policy,
heating oil supplies for school board,Economic & Fiscal Policy,
heavy crude oil pricing and export policy,Agriculture & Natural Resources,
heavy crude oil processing,Agriculture & Natural Resources,
heavy lift facilities at Saint John,Trade & Industry,
heavy water contract award,Trade & Industry,
heavy water plant conditions,Agriculture & Natural Resources,
heavy water plant decision,Agriculture & Natural Resources,
heavy water plant partnership in Saskatchewan,Agriculture & Natural Resources,
heavy water plant site selection,Trade & Industry,
heavy water plant subsidy and free enterprise,Trade & Industry,
heavy water production contract,Agriculture & Natural Resources,
heavy water supply and national security,Agriculture & Natural Resources,
helicopter contract and regional unemployment,Trade & Industry,
helicopter crash site inspection in South Viet Nam,Foreign Affairs & Defence,
helicopter deployment for fishermen protection,Agriculture & Natural Resources,
helicopter destroyer refit costs,Foreign Affairs & Defence,
helicopter destroyer refit tenders,Trade & Industry,
helicopter fit on frigates and destroyers,Foreign Affairs & Defence,
helicopter for Prince Rupert,Government Operations & Ethics,
helicopter parts sale to Iran,Foreign Affairs & Defence,
helicopter parts sales to Iran,Foreign Affairs & Defence,
helicopter pilot search and rescue regulations,Government Operations & Ethics,
helicopter procurement,Trade & Industry,
helicopter procurement and cost overruns,Foreign Affairs & Defence,
helicopter procurement and spending,Foreign Affairs & Defence,
helicopter procurement costs,Foreign Affairs & Defence,
helicopter program vs infrastructure program,Economic & Fiscal Policy,
helicopter research and development cost overruns,Government Operations & Ethics,
helicopter service from airports,Government Operations & Ethics,
helicopter skiing safety measures,Parliamentary Affairs,
help-wanted ads and job creation,Economic & Fiscal Policy,
hemispheric currency and trading blocs,Trade & Industry,
herbicide labelling for farmers,Agriculture & Natural Resources,
herd maintenance assistance payments,Agriculture & Natural Resources,
herd maintenance assistance program,Agriculture & Natural Resources,
herd maintenance program drought compensation,Agriculture & Natural Resources,
heritage language funding,Social Policy,
heritage language schools and multiculturalism funding,Social Policy,
heritage railway stations bill passage,Government Operations & Ethics,
heritage railway stations preservation legislation,Trade & Industry,
heritage railway stations protection act,Government Operations & Ethics,
heroin addiction and methadone maintenance,Social Policy,
heroin and methadone drug policy,"Justice, Rights & Immigration",
heroin availability and medical use,"Justice, Rights & Immigration",
heroin for terminal cancer pain relief,"Justice, Rights & Immigration",
heroin seizure and court charges,"Justice, Rights & Immigration",
heroin use in terminal illness pain management,Social Policy,
herring and redfish quotas,Agriculture & Natural Resources,
herring export permits and freezing capacity,Trade & Industry,
herring fisheries conservation and reduction industry,Agriculture & Natural Resources,
herring fishermen catch division,Agriculture & Natural Resources,
herring gull program funding,Agriculture & Natural Resources,
herring management committee,Agriculture & Natural Resources,
herring quota and scientific data,Agriculture & Natural Resources,
herring roe fishery licences,Agriculture & Natural Resources,
herring sales contract,Agriculture & Natural Resources,
herring seiners' right to operate in bay of Fundy,Agriculture & Natural Resources,
herring-gull program and Great Lakes toxicity,Agriculture & Natural Resources,
herring-roe fishery concerns,Agriculture & Natural Resources,
hidden jobs and government appointments,Government Operations & Ethics,
hidden taxes and tax reform,Economic & Fiscal Policy,
high altitude research program funding,Government Operations & Ethics,
high drug prices in Canada,Social Policy,
high electric power costs in Atlantic provinces,Agriculture & Natural Resources,
high energy laboratory funding,Agriculture & Natural Resources,
high food prices and inflation,Economic & Fiscal Policy,
high food prices in northern Canada,Economic & Fiscal Policy,
high gasoline prices in Ottawa-Carleton,Economic & Fiscal Policy,
high interest rate policy,Economic & Fiscal Policy,
high interest rate policy and inflation,Economic & Fiscal Policy,
high interest rate policy effects,Economic & Fiscal Policy,
high interest rate policy impact,Economic & Fiscal Policy,
high interest rates,Economic & Fiscal Policy,
high interest rates and Canadian economic policy,Economic & Fiscal Policy,
high interest rates and GST,Economic & Fiscal Policy,
high interest rates and GST impact,Economic & Fiscal Policy,
high interest rates and economic policy,Economic & Fiscal Policy,
high interest rates and environmental issues,Economic & Fiscal Policy,
high interest rates and housing affordability,Economic & Fiscal Policy,
high interest rates and overvalued dollar,Economic & Fiscal Policy,
high interest rates and small business support,Economic & Fiscal Policy,
high interest rates and unemployment,Economic & Fiscal Policy,
high interest rates impact on small business,Economic & Fiscal Policy,
high interest rates impact on small business and farmers,Economic & Fiscal Policy,
high seas salmon fishing and Danish co-operation,Agriculture & Natural Resources,
high speed rail in Quebec City-Windsor corridor,Trade & Industry,
high tech market volatility and worker impact,Economic & Fiscal Policy,
high technology industrial policy,Trade & Industry,
high-speed rail and airport transportation links,Trade & Industry,
high-tech warfare and United Nations,Foreign Affairs & Defence,
higher education and health care funding,Social Policy,
higher education assistance applications,Social Policy,
higher education in the maritimes,Social Policy,
highway 50 and highway 13 financing,Government Operations & Ethics,
highway accident causes and legislation,"Justice, Rights & Immigration",
highway accident prevention measures,Parliamentary Affairs,
highway accident prevention survey,Social Policy,
highway agreements with provinces,Intergovernmental & Constitutional Affairs,
highway bridge and mooring area dredging,Agriculture & Natural Resources,
highway construction in Northwest Territories,Agriculture & Natural Resources,
highway construction projects in Nova Scotia,Economic & Fiscal Policy,
highway construction survey crews,Government Operations & Ethics,
highway cost estimates,Government Operations & Ethics,
highway paving in Yukon and British Columbia,Trade & Industry,
highway paving in Yukon and Northwest Territories,Agriculture & Natural Resources,
highway project cost overruns,Economic & Fiscal Policy,
highway safety and accident prevention,Trade & Industry,
highway safety and impaired driving,"Justice, Rights & Immigration",
highway safety council recommendations,Government Operations & Ethics,
highway safety legislation,"Justice, Rights & Immigration",
highway safety regulations,Government Operations & Ethics,
highway through Caughnawaga and Lachine,Intergovernmental & Constitutional Affairs,
highway traffic accident deaths,Social Policy,
highway transport board certificate application,Trade & Industry,
hijacking and crew responsibilities,"Justice, Rights & Immigration",
hijacking covered by extradition agreement,"Justice, Rights & Immigration",
hijacking of civil aircraft,"Justice, Rights & Immigration",
hiring and retention of homosexuals in Canadian Armed Forces,Foreign Affairs & Defence,
hiring and training poor people,Social Policy,
hiring deck officers for coast guard,Government Operations & Ethics,
hiring drivers in Montreal,Trade & Industry,
hiring hall practices and the Seafarers' International Union,Trade & Industry,
hiring hall practices of the S.I.U,Trade & Industry,
hiring of Public Service employees,Government Operations & Ethics,
hiring of UIC employees by Loto Canada,Government Operations & Ethics,
hiring of W. I. C. Wuttunee,Government Operations & Ethics,
hiring of disabled people in public service,Social Policy,
hiring of former Liberal MPs by Auditor General,Government Operations & Ethics,
hiring of information officers,Government Operations & Ethics,
hiring of regional analysts,Government Operations & Ethics,
hiring practices for national park lifeguards,Government Operations & Ethics,
hiring practices for summer jobs on CNR,Trade & Industry,
historic sites and monuments act,Government Operations & Ethics,
historic sites and monuments board,Government Operations & Ethics,
historical Conservative party actions,Government Operations & Ethics,
historical Liberal party platform decision,Social Policy,
historical Liberal party social policy commitments,Social Policy,
historical analysis of Canadian party representation,Parliamentary Affairs,
historical argument for retention of the Crow rate,Agriculture & Natural Resources,
historical background of Regulations Act,Parliamentary Affairs,
historical methods of capital punishment,"Justice, Rights & Immigration",
historical national reflection,Parliamentary Affairs,
historical perspective on metric conversion,Economic & Fiscal Policy,
historical political parties,Parliamentary Affairs,
historical prices of goods,Economic & Fiscal Policy,
historical re-evaluation of Louis Riel,Indigenous & Northern Affairs,
historical relationship and restraint,Foreign Affairs & Defence,
historical sites and national parks funding,Government Operations & Ethics,
history and conservation of national parks,Agriculture & Natural Resources,
history and purpose of Crown corporations,Government Operations & Ethics,
history and status of starred questions,Parliamentary Affairs,
history of Canadian national symbols,Government Operations & Ethics,
history of Chinese Canadians and discrimination,"Justice, Rights & Immigration",
history of Progressive Conservative Party's social policy,Social Policy,
history of Senate reform proposals,Intergovernmental & Constitutional Affairs,
history of capital punishment and criminal procedure,"Justice, Rights & Immigration",
history of crude oil pricing and policy,Agriculture & Natural Resources,
history of federal sales tax reform,Economic & Fiscal Policy,
history of magnesium casting plant operations,Trade & Industry,
history of medicare policy,Social Policy,
history of national health grants,Social Policy,
history of old age pensions and health insurance,Social Policy,
history of the Canadian Wheat Board,Agriculture & Natural Resources,
history of the Canadian maple leaf flag,Government Operations & Ethics,
history of the House of Commons Mace,Parliamentary Affairs,
history of western grain transport policy,Agriculture & Natural Resources,
hobby farmer classification under Income Tax Act,Agriculture & Natural Resources,
hog and egg marketing quotas,Agriculture & Natural Resources,
hog breeder income and hog prices,Agriculture & Natural Resources,
hog marketing compensation policy,Agriculture & Natural Resources,
hog producer deficiency payments,Agriculture & Natural Resources,
hog producers' national plan,Agriculture & Natural Resources,
hog production industry economics,Agriculture & Natural Resources,
holding government to election promises,Government Operations & Ethics,
holiday for the House,Parliamentary Affairs,
holiday name change procedure,Parliamentary Affairs,
holiday pay and minimum benefits,Social Policy,
holiday pay for laid-off employees,Social Policy,
holiday plans,Parliamentary Affairs,
holidays for House of Commons staff,Parliamentary Affairs,
holidays for judges and judicial appointments,"Justice, Rights & Immigration",
homage to Eugene Forsey,Parliamentary Affairs,
home building loans from central bank,Economic & Fiscal Policy,
home care and research on children's diseases,Social Policy,
home delivery of mail in Windsor,Government Operations & Ethics,
home energy conversion program details,Social Policy,
home heating and electricity cost relief,Social Policy,
home heating oil costs and natural gas pipeline extension,Agriculture & Natural Resources,
home heating oil price increase,Agriculture & Natural Resources,
home heating oil prices,Economic & Fiscal Policy,
home heating oil prices in Ontario,Economic & Fiscal Policy,
home insulation and off-oil program funding,Economic & Fiscal Policy,
home insulation grants and UFF1,Social Policy,
home insulation grants and tax allowances,Economic & Fiscal Policy,
home insulation grants for pre-1961 homes,Social Policy,
home insulation program costs and extension,Social Policy,
home insulation program eligibility,Social Policy,
home insulation program proposal,Social Policy,
home insulation with banned substance,Social Policy,
home mail delivery fairness,Social Policy,
home mortgage renegotiation and foreclosure,Economic & Fiscal Policy,
home owner mortgage renewal assistance,Social Policy,
home owner tax credits and tenant legislation,Economic & Fiscal Policy,
home ownership assistance plan,Social Policy,
home ownership financing bill,Social Policy,
home ownership grant extension,Social Policy,
home ownership savings plan assistance,Economic & Fiscal Policy,
home postal delivery in Saint-Michel-Ahuntsic,Government Operations & Ethics,
homelessness and lack of budget provisions,Social Policy,
homemaker's pension within Canada Pension Plan,Social Policy,
homemakers pension negotiations,Social Policy,
homosexuals receiving documentation by mail,"Justice, Rights & Immigration",
honesty and integrity in politics,Government Operations & Ethics,
honesty in debate,Parliamentary Affairs,
honesty in olympic cost reporting,Government Operations & Ethics,
honesty in politics and the democratic system,Government Operations & Ethics,
honesty in tax system,Economic & Fiscal Policy,
honesty in the House,Parliamentary Affairs,
honesty of Conservative Party campaign promises,Government Operations & Ethics,
"honesty, husbandry, and humility in leadership",Government Operations & Ethics,
honorary citizenship for Raoul Wallenberg,Foreign Affairs & Defence,
honorary colonel of the Windsor regiment,Foreign Affairs & Defence,
honorary officer of the House of Commons,Parliamentary Affairs,
honour of membership in the Privy Council,Parliamentary Affairs,
honourable member's remark about minister,Parliamentary Affairs,
honourable member's service,Parliamentary Affairs,
honourary degree for Mr. Stevenson,Government Operations & Ethics,
honouring Canadian historical figures,Government Operations & Ethics,
honouring Chief Big Bear,Indigenous & Northern Affairs,
honouring Cree-Naskapi Act agreements,Indigenous & Northern Affairs,
honouring environmentalist Colleen McCrory,Agriculture & Natural Resources,
honouring late members,Parliamentary Affairs,
honouring non-Christian holidays,Social Policy,
honouring of treaty obligations,Indigenous & Northern Affairs,
honouring veterans and world peace,Foreign Affairs & Defence,
honours and authorization to receive,Government Operations & Ethics,
hopper car allocation formula,Agriculture & Natural Resources,
hopper cars and western grain transport,Agriculture & Natural Resources,
hopper cars for grain transport,Agriculture & Natural Resources,
horse export for slaughter,Agriculture & Natural Resources,
horse production and prices,Agriculture & Natural Resources,
horse racing betting and broadcasts,Trade & Industry,
horse racing market protection,Trade & Industry,
horses for park wardens,Agriculture & Natural Resources,
horticultural industry and agricultural imports,Agriculture & Natural Resources,
horticultural industry support programs,Agriculture & Natural Resources,
horticultural industry surtax protection,Trade & Industry,
horticultural sector programs,Agriculture & Natural Resources,
horticulture and grain research in New Brunswick,Agriculture & Natural Resources,
hospital abortion committee data,Social Policy,
hospital administration incidents,Social Policy,
hospital and university sweepstakes,Social Policy,
hospital bed closures and health care funding,Social Policy,
hospital bed grant,Social Policy,
hospital bed ratios and healthcare planning,Social Policy,
hospital beds in metropolitan Toronto,Social Policy,
hospital care for chronically ill veterans,Social Policy,
hospital care for tuberculosis and mental illness,Social Policy,
hospital closures and medical care alternatives,Social Policy,
hospital committee responsibility for abortions,Social Policy,
hospital construction grants and patient care,Social Policy,
hospital construction timeline,Social Policy,
hospital ethics committees and ethicists,Social Policy,
hospital expenditures by patient residence,Social Policy,
hospital grants and amateur sport funding,Social Policy,
hospital insurance agreements with provinces,Social Policy,
hospital insurance and diagnostic services act,Social Policy,
hospital insurance and medicare cost-sharing formula,Social Policy,
hospital insurance cost sharing,Social Policy,
hospital insurance program administration,Social Policy,
hospital orderly and laboratory helper job descriptions,Social Policy,
hospital ownership and funding,Social Policy,
hospital protection for new immigrants,"Justice, Rights & Immigration",
hospital service workers strike and government spending,Social Policy,
hospital surcharges for chronic care patients,Social Policy,
hospital therapeutic committees and abortion approvals,Social Policy,
hospital therapeutic committees and abortion approvals in Alberta,Social Policy,
hospitality expenditures by federal departments,Government Operations & Ethics,
"hospitality spending by Industry, Trade and Commerce",Government Operations & Ethics,
hospitality spending reporting requirements,Government Operations & Ethics,
hospitalization for veterans,Social Policy,
host country membership rights,Foreign Affairs & Defence,
hostage situation and prisoner transfer,"Justice, Rights & Immigration",
hostage situation at Canadian embassy in Beirut,Foreign Affairs & Defence,
hostage taking and criminal apprehension,"Justice, Rights & Immigration",
hostage takings and diplomatic incidents,Foreign Affairs & Defence,
hostage-taking and government response,"Justice, Rights & Immigration",
hostages in Iraq and Kuwait,Foreign Affairs & Defence,
hosting 1993 Summer Games,Government Operations & Ethics,
